N052.50.45.000 W002.45.29.000
N053.10.29.000 W002.05.57.000
N053.10.29.000 W002.05.57.000
N053.12.25.000 W001.58.44.000
N053.12.25.000 W001.58.44.000
N053.00.31.000 W001.47.37.000
N053.00.31.000 W001.47.37.000
N053.10.17.000 W001.20.43.000
N053.10.17.000 W001.20.43.000
N053.06.42.000 W000.46.27.000
N053.06.42.000 W000.46.27.000
N052.26.26.000 W000.10.12.000
N052.26.26.000 W000.10.12.000
N052.26.15.000 E000.13.48.000
N052.26.15.000 E000.13.48.000
N052.19.06.000 W000.03.44.000
N052.19.06.000 W000.03.44.000
N052.11.04.000 E000.05.28.000
N052.11.04.000 E000.05.28.000
N052.02.28.000 E000.15.24.000
N051.56.19.000 W000.07.48.000
N051.48.04.000 W000.11.14.000
N051.47.51.000 W001.41.36.000
N052.09.16.000 W002.04.28.000
N052.16.28.100 W002.12.18.500
N052.32.53.000 W002.30.11.000
N052.41.49.000 W002.37.50.000
