N052.04.48.000 W000.38.14.000
N052.09.39.000 W000.49.42.000
N052.06.03.000 W000.58.14.000
N052.05.19.000 W000.59.56.000
N052.00.00.000 W001.12.26.000
N052.00.00.000 W001.12.26.000
N051.51.11.000 W000.57.45.000
N051.40.14.600 W000.45.46.000
N051.29.04.000 W000.27.53.000
N051.18.17.000 W000.26.47.000
N051.08.53.000 W000.11.25.000
N050.50.57.000 E000.11.55.000
N050.44.14.000 E000.20.34.000
N050.24.05.000 E000.46.11.000
N049.58.41.000 E001.19.44.000
N049.55.19.000 E001.24.12.000
N049.56.56.000 E001.27.09.000
N050.03.31.000 E001.39.06.000
N050.10.17.000 E001.51.31.000
N050.13.46.000 E001.57.06.000
N050.36.06.000 E001.32.18.000
N050.42.44.000 E001.44.05.000
N050.54.19.000 E001.27.54.000
N051.00.00.000 E001.28.00.000
N051.07.00.000 E002.00.00.000
N051.23.00.000 E002.00.00.000
N051.24.24.000 E001.37.27.000
N051.26.58.000 E000.55.32.000
N052.02.28.000 E000.15.24.000
N051.56.19.000 W000.07.48.000
N051.54.33.000 W000.14.25.000
