N052.25.30.652 E001.04.40.255
N052.25.10.000 E001.28.16.000
N052.34.12.000 E001.54.10.000
N052.28.42.000 E002.34.14.000
N052.28.19.000 E002.46.44.000
N052.23.19.000 E002.42.37.000
N052.18.26.000 E002.38.38.000
N052.06.53.000 E002.29.17.000
N051.57.02.000 E002.21.23.000
N051.57.09.710 E002.21.28.660
N051.58.27.020 E002.40.00.870
N052.00.27.050 E003.10.18.610
N051.57.56.440 E003.10.18.610
N051.57.56.440 E003.10.18.610
N051.28.50.170 E003.10.18.610
N051.35.54.520 E002.40.00.870
N051.38.12.590 E002.30.00.000
N051.27.20.120 E002.30.00.000
N051.30.00.000 E002.00.00.000
N051.23.00.000 E002.00.00.000
N051.24.30.000 E001.36.43.000
N051.24.50.000 E001.31.19.000
N051.26.58.000 E000.55.32.000
N051.44.17.000 E000.36.07.000
N052.02.28.000 E000.15.24.000
N052.11.04.000 E000.05.28.000
N052.19.06.000 W000.03.44.000
N052.26.15.000 E000.13.48.000
