N051.56.19.000 W000.07.48.000
N051.48.01.000 E000.00.08.000
N051.42.22.000 E000.09.04.000
N051.27.15.000 E000.33.00.000
N051.17.51.000 E000.10.10.000
N051.08.53.000 W000.11.25.000
N050.54.33.000 E000.07.16.000
N050.33.30.000 E000.34.16.000
N050.24.05.000 E000.46.11.000
N050.00.00.000 W000.15.00.000
N050.00.00.000 W002.00.00.000
N049.54.57.000 W002.30.12.000
N050.17.45.000 W002.27.25.000
N050.37.12.000 W002.17.31.000
N050.39.47.000 W002.31.09.000
N050.44.59.000 W002.31.07.000
N050.49.47.000 W002.33.17.000
N050.55.43.000 W002.00.00.000
N051.15.26.000 W002.00.00.000
N051.41.26.000 W002.00.00.000
N051.47.51.000 W001.41.36.000
N051.53.36.000 W001.47.41.000
N051.53.00.000 W001.28.44.000
N052.00.00.000 W001.12.26.000
N051.54.21.000 W001.02.57.000
N051.51.11.000 W000.57.45.000
N051.40.14.600 W000.45.46.000
N051.42.55.900 W000.33.54.000
N051.48.04.000 W000.11.14.000
